PartNumber,Description,Cost,Price,OEM,Hollander
DCVX,"GM 3.6L B: 922, 401 RH: 614, 771 LH: 609 CTS, ACADIA, TRAVERSE 2008-09",115,,DCVX,15136A/B 10117
DCW1,"GM 4.3L Block - 14099090M, Heads - 12556140 non roller rocker, 10235772, Crankshaft - 255",75,150,L4399X,5943C/D
DCW2,"GM 8.1L/496 2001 Block - 12558110, Heads - 12558162, Crankshaft - 430 #699 TIMING GEAR..",500,750,L49601VT,05181A
DCW3,"GM 4.3L Block - 14099090M, Head - 12557113 roller rocker, Crankshaft - 255; Use W/ Heavy Rods. 1...",75,150,L4300,5012
DCW4-L4301,"GM 4.3L Block- 14099090M, Head - 12557113/114 roller rocker, Crankshaft - 255. Use W/ Heavy Rods...",75,150,L4301,5026A/B 5943E 5019
DCW4-L4303X,"GM 4.3L Block- 14099090M, Heads - 12557113/114 roller rocker, Crankshaft - 255. Use W/ GKN Rods....",100,75,L4303X,5026A/B 5943E 5019
DCWA,GM 3.0L B: 176 H: 610/611,85,250,DCWA,6330 6630 6930
DCWC,"GM 8.1L/496 2002-03 Block - 12558110, Heads - 12558162, Crankshaft - 430, 298 TIMING GEAR 872/762, GM 8.1L/496 2002-03 Block - 12558110, Heads - 12558162, Crankshaft - 430, 298 TIMING GEAR 872/762..",500,750,L49602VT,05181A
DCWE,"GM 8.1L/496 2004-07 Block - 12558110, Heads - 12558162, Crankshaft - 430, 298 TIMING GEAR 766, GM 8.1L/496 2004-07 Block - 12558110, Heads - 12558162, Crankshaft - 430, 298 TIMING GEAR 766..",500,750,L49604VT,05181B
DCWT,"GM 5.3L GEN IV W/DOD 2007-09, GM 5.3L GEN IV W/DOD N/VVT 243/799 HEAD",250,400,L5307GMCCI,15153A/B/C/D
DCWT-LB,GM 5.3L GEN IV W/DOD N/VVT 243/799 HEAD MISSING SHEETMETAL,200,400,L5307GMCCI,NA
DCX1,"GM 4.3L Block - 12600234, Heads - 12557113, Crankshaft - 255",125,250,L4307X,5149
DCX10,GM 6.6L LML HEAD#704 COMPLETE,1000,1500,CAAGMDMX8L,300-5866A / 300-5866B
DCX14,"GM 5.3L GEN IV 048/900-ALM W/VVT W/DOD 2010-14, GM 5.3L GEN IV 048/900-ALM W/VVT W/DOD 243/799 HEAD W/TC&OP",300,450,L5310GMCAL,15953
DCX14-LB,GM 5.3L GEN IV 048/900-ALM W/VVT W/DOD 243/799 HEAD INCOMPLETE,300,450,L5310GMCAL,.
DCX2,"GM 5.3L Block IV 12569513 or 12601900, Heads 243, 799, Crankshaft  DUAL DISC #216 WITH CAM SENSO...",200,400,DCX2,"15053, 5853"
